Entity,Number ID,Coat color,Gender,Father,Mum,D.O.B,D.O.D,Cause of death,Censored,Lifespan (days),Code,Name Treatment,Drug Treatment,Cage,Position,,Blood,Batch,Current Age,month,Dead age or alive,month,1,1.5,2,3,4,4.5,5,6,8,10,12,14,15,17,18,Pups total,Pups euthanized,Weaning date,Weaning days,Males,Females,Dead
MOU000101,1,Black,Male,,,06/07/2021,,,,945,K,Low Protein | 6%,,1,R001B_C01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000102,2,Black,Male,,,06/07/2021,13/04/2023,Dermatitis,0,646,K,Low Protein | 6%,,1,R001B_C01,,,E_2021_27_CEB,945,31.0,646,21.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000103,3,Black,Male,,,06/07/2021,03/11/2023,Found dead,0,850,K,Low Protein | 6%,,1,R001B_C01,,,E_2021_27_CEB,945,31.0,850,27.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000104,4,Black,Male,,,06/07/2021,08/06/2023,Found dead,0,702,K,Low Protein | 6%,,1,R001B_C01,,,E_2021_27_CEB,945,31.0,702,23.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000105,5,Black,Male,,,06/07/2021,28/12/2023,Found dead,0,905,K,Low Protein | 6%,,1,R001B_C01,,,E_2021_27_CEB,945,31.0,905,29.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000106,6,Black,Male,,,06/07/2021,26/12/2023,Found dead,0,903,A,Eudragit | 404 ppm,,2,R001A_A01,,,E_2021_27_CEB,945,31.0,903,29.6,,,,,,,,,,,,,,,,,,,,,,1
MOU000107,7,Black,Male,,,06/07/2021,,,,945,A,Eudragit | 404 ppm,,2,R001A_A01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000108,8,Black,Male,,,06/07/2021,09/12/2023,Found dead,0,886,A,Eudragit | 404 ppm,,2,R001A_A01,,,E_2021_27_CEB,945,31.0,886,29.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000109,9,Black,Male,,,06/07/2021,28/08/2023,Found dead,0,783,A,Eudragit | 404 ppm,,2,R001A_A01,,,E_2021_27_CEB,945,31.0,783,25.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000110,10,Black,Male,,,06/07/2021,13/11/2023,Found dead,0,860,A,Eudragit | 404 ppm,,2,R001A_A01,,,E_2021_27_CEB,945,31.0,860,28.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000111,11,Black,Male,,,06/07/2021,18/12/2023,Found dead,0,895,A,Eudragit | 404 ppm,,3,R001A_A02,,,E_2021_27_CEB,945,31.0,895,29.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000112,12,Black,Male,,,06/07/2021,,,,945,A,Eudragit | 404 ppm,,3,R001A_A02,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000113,13,Black,Male,,,06/07/2021,,,,945,A,Eudragit | 404 ppm,,3,R001A_A02,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000114,14,Black,Male,,,06/07/2021,31/07/2023,Found dead,0,755,A,Eudragit | 404 ppm,,3,R001A_A02,,,E_2021_27_CEB,945,31.0,755,24.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000115,15,Black,Male,,,06/07/2021,,,,945,A,Eudragit | 404 ppm,,3,R001A_A02,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000116,16,Black,Male,,,06/07/2021,,,,945,G,Canagliflozin | 180 ppm,,4,R001A_G01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000117,17,Black,Male,,,06/07/2021,,,,945,G,Canagliflozin | 180 ppm,,4,R001A_G01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000118,18,Black,Male,,,06/07/2021,30/01/2024,Found dead,0,938,G,Canagliflozin | 180 ppm,,4,R001A_G01,,,E_2021_27_CEB,945,31.0,938,30.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000119,19,Black,Male,,,06/07/2021,,,,945,G,Canagliflozin | 180 ppm,,4,R001A_G01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000120,20,Black,Male,,,06/07/2021,,,,945,G,Canagliflozin | 180 ppm,,4,R001A_G01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000121,21,Black,Male,,,06/07/2021,28/09/2023,Vestibular Balance,0,814,B,Selegiline | 42 ppm,,5,R001A_B01,,YES,E_2021_27_CEB,945,31.0,814,26.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000122,22,Black,Male,,,06/07/2021,,,,945,B,Selegiline | 42 ppm,,5,R001A_B01,,YES,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000123,23,Black,Male,,,06/07/2021,,,,945,B,Selegiline | 42 ppm,,5,R001A_B01,,YES,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000124,24,Black,Male,,,06/07/2021,01/02/2023,Accident,1,575,B,Selegiline | 42 ppm,,5,R001A_B01,,YES,E_2021_27_CEB,945,31.0,575,18.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000125,25,Black,Male,,,06/07/2021,,,,945,B,Selegiline | 42 ppm,,5,R001A_B01,,YES,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000126,26,Black,Male,,,06/07/2021,30/06/2023,Dermatitis,0,724,J,Ketogenic,,6,R001B_B01,,,E_2021_27_CEB,945,31.0,724,23.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000127,27,Black,Male,,,06/07/2021,09/12/2023,Found dead,0,886,J,Ketogenic,,6,R001B_B01,,,E_2021_27_CEB,945,31.0,886,29.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000128,28,Black,Male,,,06/07/2021,24/01/2024,Found dead,0,932,J,Ketogenic,,6,R001B_B01,,YES2,E_2021_27_CEB,945,31.0,932,30.6,,,,,,,,,,,,,,,,,,,,,,1
MOU000129,29,Black,Male,,,06/07/2021,22/12/2023,Found dead,0,899,J,Ketogenic,,6,R001B_B01,,YES2,E_2021_27_CEB,945,31.0,899,29.5,,,,,,,,,,,,,,,,,,,,,,1
MOU000130,30,Black,Male,,,06/07/2021,28/11/2023,Found dead,0,875,J,Ketogenic,,6,R001B_B01,,,E_2021_27_CEB,945,31.0,875,28.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000131,31,Black,Male,,,06/07/2021,08/03/2023,Found dead,0,610,L,Control Envigo,,7,R001B_D01,,,E_2021_27_CEB,945,31.0,610,20.0,,,,,,,,,,,,,,,,,,,,,,1
MOU000132,32,Black,Male,,,06/07/2021,17/11/2023,Found dead,0,864,L,Control Envigo,,7,R001B_D01,,,E_2021_27_CEB,945,31.0,864,28.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000133,33,Black,Male,,,06/07/2021,23/10/2023,Found dead,0,839,L,Control Envigo,,7,R001B_D01,,,E_2021_27_CEB,945,31.0,839,27.5,,,,,,,,,,,,,,,,,,,,,,1
MOU000134,34,Black,Male,,,06/07/2021,03/11/2023,Found dead,0,850,L,Control Envigo,,7,R001B_D01,,,E_2021_27_CEB,945,31.0,850,27.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000135,35,Black,Male,,,06/07/2021,05/10/2023,Found dead,0,821,L,Control Envigo,,7,R001B_D01,,,E_2021_27_CEB,945,31.0,821,26.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000136,36,Black,Male,,,06/07/2021,25/09/2023,Found dead,0,811,J,Ketogenic,,8,R001B_B02,,,E_2021_27_CEB,945,31.0,811,26.6,,,,,,,,,,,,,,,,,,,,,,1
MOU000137,37,Black,Male,,,06/07/2021,02/08/2023,Prolapsus,0,757,J,Ketogenic,,8,R001B_B02,,,E_2021_27_CEB,945,31.0,757,24.8,,,,,,,,,,,,,,,,,,,,,,1
MOU000138,38,Black,Male,,,06/07/2021,11/10/2023,Found dead,0,827,J,Ketogenic,,8,R001B_B02,,,E_2021_27_CEB,945,31.0,827,27.1,,,,,,,,,,,,,,,,,,,,,,1
MOU000139,39,Black,Male,,,06/07/2021,14/03/2023,Eye abscess,1,616,J,Ketogenic,,8,R001B_B02,,,E_2021_27_CEB,945,31.0,616,20.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000140,40,Black,Male,,,06/07/2021,25/09/2023,Found dead,0,811,J,Ketogenic,,8,R001B_B02,,,E_2021_27_CEB,945,31.0,811,26.6,,,,,,,,,,,,,,,,,,,,,,1
MOU000141,41,Black,Male,,,06/07/2021,10/10/2023,Found dead,0,826,E,Control Ssniff,,9,R001A_E01,,,E_2021_27_CEB,945,31.0,826,27.1,,,,,,,,,,,,,,,,,,,,,,1
MOU000142,42,Black,Male,,,06/07/2021,05/12/2023,Found dead,0,882,E,Control Ssniff,,9,R001A_E01,,,E_2021_27_CEB,945,31.0,882,28.9,,,,,,,,,,,,,,,,,,,,,,1
MOU000143,43,Black,Male,,,06/07/2021,10/10/2023,Found dead,0,826,E,Control Ssniff,,9,R001A_E01,,,E_2021_27_CEB,945,31.0,826,27.1,,,,,,,,,,,,,,,,,,,,,,1
MOU000144,44,Black,Male,,,06/07/2021,19/10/2023,Found dead,0,835,E,Control Ssniff,,9,R001A_E01,,,E_2021_27_CEB,945,31.0,835,27.4,,,,,,,,,,,,,,,,,,,,,,1
MOU000145,45,Black,Male,,,06/07/2021,,,,945,E,Control Ssniff,,9,R001A_E01,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000146,46,Black,Male,,,06/07/2021,30/06/2023,Found dead,0,724,L,Control Envigo,,10,R001B_D02,,,E_2021_27_CEB,945,31.0,724,23.7,,,,,,,,,,,,,,,,,,,,,,1
MOU000147,47,Black,Male,,,06/07/2021,,,,945,L,Control Envigo,,10,R001B_D02,,,E_2021_27_CEB,945,31.0,945,31.0,,,,,,,,,,,,,,,,,,,,,,0
MOU000148,48,Black,Male,,,06/07/2021,13/12/2023,Found dead,0,890,L,Control Envigo,,10,R001B_D02,,,E_2021_27_CEB,945,31.0,890,29.2,,,,,,,,,,,,,,,,,,,,,,1
MOU000149,49,Black,Male,,,06/07/2021,18/12/2023,Found dead,0,895,L,Control Envigo,,10,R001B_D02,,,E_2021_27_CEB,945,31.0,895,29.3,,,,,,,,,,,,,,,,,,,,,,1
MOU000150,50,Black,Male,,,06/07/2021,20/11/2023,Found dead,0,867,L,Control Envigo,,10,R001B_D02,,,E_2021_27_CEB,945,31.0,867,28.4,,,,,,,,,,,,,,,,,,,,,,1
